State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5001,Medellín,2431666,2420516,2414616,2427129,2483545,3785,17306,2100,1172,1276,5.16,11.96,26.71,56.16,2.51,0.09,6.27,3.17,67.43,43.23,5.64,13.91,5.47,47.01,52.99,1.44,29.47,0.12111709770517212,0.31281714731762383,0.26047097111614576,0.09027898324711817,0.06485456160175425,0.03706150936085051,1.555263157894737,2102.057894736842
5,Antioquia,5002,Abejorral,19897,19979,20047,20367,20258,2,5,1,2,0,5.24,14.92,22.29,57.55,0.35,0.01,16.05,9.89,33.65,39.6,0.89,26.37,1.43,51.93,48.07,21.87,56.27,0.31352049806178783,0.33830612005168564,0.02043932808645601,0.00035240220838717257,0.00011746740279572419,0.0,0.002012072434607646,11.945674044265594
5,Antioquia,5004,Abriaquí,2514,2539,2593,2695,2710,0,2,0,1,2,6.07,14.08,23.76,56.09,1.99,0.0,16.72,6.72,45.72,36.78,1.85,24.5,1.16,54.24,45.76,24.03,62.35,0.21570482497634816,0.391674550614948,0.043519394512771994,0.000946073793755913,0.001892147587511826,0.001892147587511826,0.0,2.5482758620689654
5,Antioquia,5021,Alejandría,4511,4543,4570,4657,4669,0,5,0,0,0,6.59,15.73,21.91,55.77,0.31,0.0,8.1,8.75,38.79,37.07,1.25,25.89,0.86,49.8,50.2,17.06,54.61,0.1798794622160408,0.3857209086694483,0.04821511358368104,0.0018544274455261937,0.0004636068613815484,0.0004636068613815484,0.006622516556291391,9.092715231788079
5,Antioquia,5030,Amagá,28691,29006,29429,30227,30777,120,196,17,3,16,5.42,13.36,25.71,55.5,0.48,0.03,9.02,7.68,51.67,39.21,3.36,21.48,3.56,49.37,50.63,3.31,56.12,0.27878423628402166,0.4202799004035374,0.03408603073752898,0.0018888984287799434,0.0014596033313299562,0.00017171803897999483,0.011764705882352941,102.75294117647059
5,Antioquia,5031,Amalfi,24444,24794,25205,25962,26552,5,4,2,3,6,6.5,17.97,26.95,48.58,0.5,0.01,8.09,10.2,40.78,38.31,2.74,22.5,0.64,50.22,49.78,31.18,59.46,0.2803381194997684,0.2348309402501158,0.15748031496062992,0.0018527095877721167,0.0004631773969430292,0.0005789717461787865,0.0008169934640522876,5.373366013071895
5,Antioquia,5034,Andes,42495,42564,42614,43269,43713,14,188,6,2,1,5.79,14.73,25.3,54.18,0.6,0.65,10.77,10.08,41.52,38.89,1.98,22.1,0.98,51.85,48.15,26.47,66.17,0.21464351883620394,0.5333836547039045,0.061003225142386604,0.0025389418788169904,0.0003431002538941879,0.0002744802031153503,0.0022271714922048997,26.946547884187083
5,Antioquia,5036,Angelópolis,5659,5649,5669,5756,5790,1,5,0,0,0,5.57,14.64,24.47,55.32,0.54,0.06,23.14,9.57,41.62,39.07,1.93,22.94,3.56,50.49,49.51,8.39,45.96,0.2926829268292683,0.3735558408215661,0.051347881899871634,0.0008557980316645272,0.0,0.0,0.011494252873563218,19.735632183908045
5,Antioquia,5038,Angostura,11174,11210,11241,11437,11462,4,1,0,0,0,6.67,17.38,26.59,49.36,0.5,0.0,16.7,12.69,34.75,34.38,2.53,28.0,0.44,50.73,49.27,19.29,68.53,0.42085034830650975,0.25318280086476097,0.04780206581791977,0.00048042277203939464,0.00048042277203939464,0.00024021138601969732,0.002551020408163265,7.994897959183674
5,Antioquia,5040,Anorí,14568,16180,17394,18321,18737,21,3,4,3,16,7.71,20.7,28.59,43.0,1.68,1.15,10.78,10.87,35.8,35.21,2.63,22.15,0.21,51.74,48.26,33.61,62.39,0.32051282051282054,0.24236874236874237,0.053418803418803416,0.00030525030525030525,0.00015262515262515263,0.0,0.000691085003455425,3.1782999308915
