State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019
5,Antioquia,5001,Medellín,2431666,2420516,2414616,2427129,2483545,3785,17306,2100,1172,1276
5,Antioquia,5002,Abejorral,19897,19979,20047,20367,20258,2,5,1,2,0
5,Antioquia,5004,Abriaquí,2514,2539,2593,2695,2710,0,2,0,1,2
5,Antioquia,5021,Alejandría,4511,4543,4570,4657,4669,0,5,0,0,0
5,Antioquia,5030,Amagá,28691,29006,29429,30227,30777,120,196,17,3,16
5,Antioquia,5031,Amalfi,24444,24794,25205,25962,26552,5,4,2,3,6
5,Antioquia,5034,Andes,42495,42564,42614,43269,43713,14,188,6,2,1
5,Antioquia,5036,Angelópolis,5659,5649,5669,5756,5790,1,5,0,0,0
5,Antioquia,5038,Angostura,11174,11210,11241,11437,11462,4,1,0,0,0
5,Antioquia,5040,Anorí,14568,16180,17394,18321,18737,21,3,4,3,16
5,Antioquia,5042,Santa Fé de Antioquia,25489,25600,25727,26164,26598,129,115,22,10,85
5,Antioquia,5044,Anzá,6903,6910,6905,7010,7085,2,0,1,0,5
5,Antioquia,5045,Apartadó,118489,118802,119318,121003,124647,85,76,138,387,578
5,Antioquia,5051,Arboletes,28808,28865,28862,29295,29942,44,51,50,96,49
5,Antioquia,5055,Argelia,7759,7727,7676,7689,7577,0,2,0,1,0
5,Antioquia,5059,Armenia,5321,5218,5123,5139,5085,9,16,0,0,1
5,Antioquia,5079,Barbosa,48268,48938,49978,51969,53242,17,125,107,78,40
5,Antioquia,5086,Belmira,5908,5917,5911,6000,6054,0,3,0,1,0
5,Antioquia,5088,Bello,455952,481333,504580,522264,538527,605,1749,204,89,88
5,Antioquia,5091,Betania,10153,10161,10168,10323,10274,4,115,11,3,2
5,Antioquia,5093,Betulia,15362,15374,15384,15607,15736,2,49,12,8,1
5,Antioquia,5101,Ciudad Bolívar,29245,27585,26369,26118,26160,47,84,18,9,10
5,Antioquia,5107,Briceño,7889,7895,7906,8039,8065,2,1,4,27,7
5,Antioquia,5113,Buriticá,8203,8488,8839,9354,9502,3,12,26,1,10
5,Antioquia,5120,Cáceres,28573,28609,28572,28996,29716,21,8,5,80,25
5,Antioquia,5125,Caicedo,8168,8174,8164,8297,8420,1,8,1,0,0
5,Antioquia,5129,Caldas,76756,77356,78178,79638,81658,18,174,5,7,13
5,Antioquia,5134,Campamento,8619,8820,8961,9203,9202,0,3,0,0,0
5,Antioquia,5138,Cañasgordas,15262,15298,15296,15523,15490,75,26,6,1,3
5,Antioquia,5142,Caracolí,5134,4934,4695,4582,4537,5,5,3,3,16
5,Antioquia,5145,Caramanta,5591,5204,4867,4743,4670,0,1,0,0,0
5,Antioquia,5147,Carepa,46999,47085,47252,47932,49659,64,101,15,93,103
5,Antioquia,5148,El Carmen de Viboral,53139,55075,57093,59416,61122,2,5,1,0,0
5,Antioquia,5150,Carolina,4259,4133,4000,3954,3954,0,1,0,1,0
5,Antioquia,5154,Caucasia,91203,90925,90361,90213,93044,105,57,16,95,69
5,Antioquia,5172,Chigorodó,56201,56345,56584,57375,58684,7,16,18,134,161
5,Antioquia,5190,Cisneros,10504,10251,9934,9775,9844,25,82,43,4,27
5,Antioquia,5197,Cocorná,17147,16722,15960,15444,15042,1,38,2,1,17
5,Antioquia,5206,Concepción,5025,4946,4812,4797,4760,0,1,0,0,0
5,Antioquia,5209,Concordia,21029,21039,21058,21377,21504,2,9,2,0,2
5,Antioquia,5212,Copacabana,75253,75706,76394,77884,80000,70,283,38,14,35
5,Antioquia,5234,Dabeiba,22525,22588,22653,23044,23255,12,6,6,3,145
5,Antioquia,5237,Donmatías,18528,18575,18648,18902,19332,4,3,2,2,1
5,Antioquia,5240,Ebéjico,11968,11989,11978,12158,12108,6,46,3,3,0
5,Antioquia,5250,El Bagre,47756,49274,50497,51862,52925,38,66,102,89,323
5,Antioquia,5264,Entrerríos,10369,10541,10764,11159,11465,2,1,0,0,1
5,Antioquia,5266,Envigado,206158,213188,221252,228848,236114,77,437,77,43,61
5,Antioquia,5282,Fredonia,23659,23743,23873,24408,24553,2,183,10,2,1
5,Antioquia,5284,Frontino,20751,20674,20554,20739,20657,0,13,30,13,3
5,Antioquia,5306,Giraldo,5225,5280,5364,5544,5652,2,1,0,1,2
5,Antioquia,5308,Girardota,48238,48911,49965,51662,53162,29,69,2,2,17
5,Antioquia,5310,Gómez Plata,10208,9792,9662,9753,9828,3,3,2,0,2
5,Antioquia,5313,Granada,11060,10544,10159,10117,9870,3,6,0,0,0
5,Antioquia,5315,Guadalupe,6396,6424,6435,6560,6607,1,3,1,0,0
