depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS,
Antioquia,ABEJORRAL,500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,,890980643,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,1,Instituciones - IPS,SI,CL Circular X Kr Calibio,8647181,8648856,abejhs01@edatel.net.co,JAVIER ANTONIO CASTRILLON MENDOZA,1,MUNICIPAL,SI,20110725,20210831,,9,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ALEJANDRÍA,502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,,800029509,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,1,Instituciones - IPS,SI,KR 19 # 16 - 70,8660077,8660077,hospitalalejandria@gmail.com,Diver Arley Lopera Castaño,1,MUNICIPAL,SI,20061117,20210831,,5,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,AMAGÁ,503004374,ESE HOSPITAL  SAN  FERNANDO,,890906346,ESE HOSPITAL SAN FERNANDO,1,Instituciones - IPS,SI,Cra 51 No 52 81,8472926,8471384,esehospitalamaga@hotmail.com,MARIO ALEJANDRO CADAVID CADAVID,1,MUNICIPAL,SI,20030415,20210831,,1,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,AMALFI,503102091,E.S.E HOSPITAL EL CARMEN,,890982101,E.S.E HOSPITAL EL CARMEN,1,Instituciones - IPS,SI,CL 23 # 23 - 40,5748300353,5748301803,hospitalamalfi@gmail.com,LICINIA DEL CARMEN RAVE BERMUDEZ,1,MUNICIPAL,SI,20061117,20210831,,8,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ANDES,503404432,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,,890980814,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,1,Instituciones - IPS,SI,AV MEDELLIN NRO. 48-20,5748414343,5748414909,esehsrgerencia@gmail.com,CARLOS ALBERTO ARROYAVE ZULUAGA,1,MUNICIPAL,SI,20061017,20210831,,1,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ANGELÓPOLIS,503605108,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,,890980959,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,1,Instituciones - IPS,SI,CL 8 # 7-108,5748421146,5748421029,eseangel@edatel.net.co,JOSÉ DOMINGO JULIO PRETELT,1,MUNICIPAL,SI,20061117,20210831,,0,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ANGOSTURA,503801538,ESE HOSPITAL SAN RAFAEL,,890982183,E.S.E. HOSPITAL SAN RAFAEL DE ANGOSTURA,1,Instituciones - IPS,SI,KRA10 # 16 - 1,"5748645099, 8645319",5748645312,angohs01@edatel.net.co,JAVIER ENRIQUE ARTEAGA JIMENEZ,1,MUNICIPAL,SI,20030410,20210831,,1,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ANORÍ,504003261,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,,890982138,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,1,Instituciones - IPS,SI,CL ZEA,8350803,8350749,anorhs@hospitalanori.gov.co,OSCAR HUMBERTO CARDONA QUINTERO,1,MUNICIPAL,SI,20070831,20210831,,1,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ANZA,504405014,ESE HOSPITAL SAN FRANCISCO DE ASIS,,890397282,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,1,Instituciones - IPS,SI,KR  8  # 7-29,8522029,8522029,hospitalanza@hospitalanza.gov.co,CARLOS ENRIQUE TORRES MARIN,1,MUNICIPAL,SI,20030414,20210831,,3,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504514003,ATENCIÓN MÉDICA INTEGRAL MIRTIS S.A.S,,900805371,ATENCIÓN MÉDICA INTEGRAL MIRTIS S.A.S,1,Instituciones - IPS,  ,CL 98A # 107 - 52,3206580951-8281806,,amirtis.s.a.s@gmail.com,ALEXANDRA JOHANA TORRES RAMÍREZ, ,,SI,20151215,20210831,,8,JURIDICO,1,Privada,2,Fecha corte REPS: Dec  9 2020 11:48AM,
