Departamento,Municipio,Area (km2)
Amazonas,El Encanto,11251
Amazonas,La Chorrera,12517
Amazonas,La Pedrera,13945
Amazonas,La Victoria,1443
Amazonas,Leticia,5832
Amazonas,Mirití-Paraná,16864
Amazonas,Puerto Alegría,8774
Amazonas,Puerto Arica,13526
Amazonas,Puerto Nariño,1475
Amazonas,Puerto Santander,14885
Amazonas,Tarapacá,9153
Antioquia,Abejorral,497
Antioquia,Abriaquí,290
Antioquia,Alejandría,151
Antioquia,Amagá,85
Antioquia,Amalfi,1224
Antioquia,Andes,449
Antioquia,Angelópolis,87
Antioquia,Angostura,392
Antioquia,Anorí,1447
Antioquia,Santa Fe de Antioquia,499
Antioquia,Anzá,256
Antioquia,Apartadó,607
Antioquia,Arboletes,718
Antioquia,Argelia,257
Antioquia,Armenia,111
Antioquia,Barbosa,208
Antioquia,Bello,142
Antioquia,Belmira,279
Antioquia,Betania,170
Antioquia,Betulia,255
Antioquia,Briceño,406
Antioquia,Buriticá,368
Antioquia,Cáceres,1996
Antioquia,Caicedo,221
Antioquia,Caldas,133
Antioquia,Campamento,200
Antioquia,Cañasgordas,391
Antioquia,Caracolí,260
Antioquia,Caramanta,86
Antioquia,Carepa,380
Antioquia,Carmen de Viboral,448
Antioquia,Carolina del Príncipe,200
Antioquia,Caucasia,1411
Antioquia,Chigorodó,608
Antioquia,Cisneros,46
Antioquia,Ciudad Bolívar,285
Antioquia,Cocorná,210
Antioquia,Concepción,167
Antioquia,Concordia,231
Antioquia,Copacabana,70
Antioquia,Dabeiba,1883
Antioquia,Donmatías,181
Antioquia,Ebéjico,235
Antioquia,El Bagre,1563
Antioquia,El Peñol,143
Antioquia,El Retiro,273
Antioquia,El Santuario,75
Antioquia,Entrerríos,219
Antioquia,Envigado,78
Antioquia,Fredonia,247
Antioquia,Frontino,1236
Antioquia,Giraldo,96
Antioquia,Girardota,78
Antioquia,Gómez Plata,360
Antioquia,Granada,183
Antioquia,Guadalupe,87
Antioquia,Guarne,151
Antioquia,Guatapé,69
Antioquia,Heliconia,117
Antioquia,Hispania,58
Antioquia,Itagüí,17
Antioquia,Ituango,2345
Antioquia,Jardín,224
Antioquia,Jericó,193
Antioquia,La Ceja,131
Antioquia,La Estrella,35
Antioquia,La Pintada,55
Antioquia,La Unión,198
Antioquia,Liborina,217
Antioquia,Maceo,431
Antioquia,Marinilla,115
Antioquia,Medellín,380
Antioquia,Montebello,86
Antioquia,Murindó,1349
Antioquia,Mutatá,1106
